fbref_id,ime,tekmovanja,tekme,min,goli,asistence,G+A
451f0578,Adil Lechkar,['eredivisie'],16,276,0,2,2
66e43504,Clint Leemans,['eredivisie'],31,1368,1,0,1
c8ecc3d9,Yannick Leliendal,['eredivisie'],32,2743,1,1,2
0f422610,Stav Lemkin,['eredivisie'],25,2041,0,1,1
1b6c663e,Bryan Limbombe,['eredivisie'],22,1304,1,3,4
62c7067a,Dimitris Limnios,['eredivisie'],34,2166,2,6,8
521c90b8,Marcus Linday,['eredivisie'],32,2304,1,2,3
5700824a,Bryan Linssen,['eredivisie'],32,2224,12,7,19
baa31f3d,Evert Linthorst,"['eredivisie', 'europa_league']",36,1901,1,2,3
9cf14be5,Justin Lonwijk,['eredivisie'],15,900,4,0,4
fc4cf6a7,Jordan Lotomba,"['eredivisie', 'europa_league']",25,1295,0,1,1
05665578,Sayfallah Ltaief,['eredivisie'],9,506,1,0,1
a8f2b8a7,Boyd Lucassen,['eredivisie'],20,1104,1,0,1
4aaf009e,Younes Jaber el Maftahi,['eredivisie'],1,34,0,0,0
43b405ae,Enes Mahmutovic,['eredivisie'],15,738,0,0,0
7d97cf0e,Seiya Maikuma,"['eredivisie', 'conference_league']",9,238,0,0,0
2659e909,Dion Malone,['eredivisie'],11,204,0,0,0
2079b3cc,Dennis Man,"['eredivisie', 'champions_league']",33,1945,9,7,16
7044f85d,Richonell Margaret,"['eredivisie', 'europa_league']",28,1327,1,2,3
691d6a54,Iván Márquez,['eredivisie'],32,2501,1,0,1
c3bbad62,Nolan Martens,['eredivisie'],9,478,0,1,1
cb3fc225,Lushendry Martes,['eredivisie'],13,936,0,0,0
7bc34048,Bruno Martins Indi,['eredivisie'],27,2206,1,0,1
2be3b643,Myron Mau-Asam,['eredivisie'],1,7,0,0,0
18d5f9e8,Dylan Mbayo,"['eredivisie', 'coupe_de_france']",15,584,0,1,1
8fc43595,Xavier Mbuyamba,['eredivisie'],16,748,1,0,1
bf973eeb,James McConnell,"['eredivisie', 'champions_league']",7,223,0,0,0
4d5f6b4a,Mexx Meerdink,"['eredivisie', 'conference_league']",25,1099,5,1,6
c148865c,Ringo Meerveld,['eredivisie'],30,2422,6,3,9
3cd63173,Aaron Meijers,['eredivisie'],12,499,0,0,0
86a3a76d,Rick Meissen,['eredivisie'],33,2511,0,3,3
1545cf15,Houboulang Mendes,['eredivisie'],6,91,0,0,0
